Sarcastic,non_sarcastic,,,
 nothing says happy mothers day like giving a discount to your products because mom's bodies are awful, nothing says happy mothers day like giving a discount to your products because mom's bodies are awful,"
","
","
"
 nothing says happy mothers day like giving a discount to your products because mom's bodies are awful, why would you give a discount to your products for mother's day as if mom's bodies are awful,"
","
","
"
 on call visits are always fun, on call visits are always boring,"
","
","
"
 on call visits are always fun, on call visits are always boring,"
","
","
"
 on call visits are always fun, on call visits are annoyinh,"
","
","
"
 on call visits are always fun, on call visits always sucks,"
","
","
"
 on call visits are always fun, on call visits are never fun,"
","
","
"
 terry got sent off ? maybe hiddink needs to have more control over his players, terry got sent off ? maybe hiddink needs to have more control over his players,"
","
","
"
 terry got sent off ? maybe hiddink needs to have more control over his players, terry got sent off ? hiddink needs to have more control over his players,"
","
","
"
 terry got sent off ? maybe hiddink needs to have more control over his players, hiddink already has a lot of control over his players,"
","
","
"
 terry got sent off ? maybe hiddink needs to have more control over his players, terry got sent off ? maybe hiddink needs to have more control over his players,"
","
","
"
 terry got sent off ? maybe hiddink needs to have more control over his players, terry got sent off ? maybe hiddink needs to have more control over his players,"
","
","
"
 can you sense the yet, you can sense the right ?,"
","
","
"
 can you sense the yet, can't you sense them yet ?,"
","
","
"
 can you sense the yet, you cannot get the sarcasm,"
","
","
"
 can you sense the yet, you are taking much time to understand the sarcasm,"
","
","
"
 can you sense the yet, can you sense the yet,"
","
","
"
 apparantly when it rains my tv doesn't work excellent, apparantly when it rains my tv doesn't work awful,"
","
","
"
 apparantly when it rains my tv doesn't work excellent, apparantly when it rains my tv doesn't work annoying,"
","
","
"
 apparantly when it rains my tv doesn't work excellent, so disturbing that my tv doesn't work when it rains,"
","
","
"
 apparantly when it rains my tv doesn't work excellent, damn i hate it when it rains as it affects my tv,"
","
","
"
 apparantly when it rains my tv doesn't work excellent, it such a bummer when my to does not work when it apparently rains,"
","
","
"
 i dun gv a damn man didnt know we r always in yur mind thx, i dun gv a damn man knew we r always not in yur mind thx,"
","
","
"
 i dun gv a damn man didnt know we r always in yur mind thx, i dun gv a damn man didnt know we r always in yur mind damn,"
","
","
"
 i dun gv a damn man didnt know we r always in yur mind thx, leave us alone please we don't care about you,"
","
","
"
 i dun gv a damn man didnt know we r always in yur mind thx, i am concerned as i know you don t think of us,"
","
","
"
 i dun gv a damn man didnt know we r always in yur mind thx, i dun give a damn man you are always bugging us and we don't appreciate it,"
","
","
"
 truly amaze me, never amaze me,"
","
","
"
 truly amaze me, truly annoy me,"
","
","
"
 truly amaze me, truly annoys me,"
","
","
"
 truly amaze me, truly don t surprise me,"
","
","
"
 truly amaze me, bore me,"
","
","
"
 i am shocked that laremy tunsil is late to his press conference, i am not shocked that laremy tunsil is late to his press conferences,"
","
","
"
 i am shocked that laremy tunsil is late to his press conference, i am shocked that laremy tunsil is late to his press conference,"
","
","
"
 i am shocked that laremy tunsil is late to his press conference, not suprising that laremy tunsil is late to his press conference,"
","
","
"
 i am shocked that laremy tunsil is late to his press conference, it is not a surprise that laremy tunsil is late to his press conference,"
","
","
"
 i am shocked that laremy tunsil is late to his press conference, it is not a surprise that laremy tunsil is late to his press conference,"
","
","
"
 jesus i think it might be raining up here, jesus never knew it will be raining up here,"
","
","
"
 jesus i think it might be raining up here, jesus i think it might be drying up here,"
","
","
"
 jesus i think it might be raining up here,it can be either 1 obviously it is raining or b it is so hot it will never rain,"
","
","
"
 jesus i think it might be raining up here, jesus there s no sign of rain up here,"
","
","
"
 jesus i think it might be raining up here, jesus i think it might be raining up here,"
","
","
"
 felt good to be ditched yesterday, felt badto be ditched yesterday,"
","
","
"
 felt good to be ditched yesterday, felt sad to be ditched yesterday,"
","
","
"
 felt good to be ditched yesterday, felt horrible to be ditched yesterday,"
","
","
"
 felt good to be ditched yesterday, felt bad to get ditched yesterday,"
","
","
"
 felt good to be ditched yesterday, i felt very bad when i was ditched yesterday,"
","
","
"
 simon kelly looks fit, simon kelly does not look fit,"
","
","
"
